Qty;Value;Device;Package;Parts
2;1X02;BARRA PINO;180 graus;JP1, JP2
2;1X05;BARRA PINO;180 graus;ICD2BR, JP3
8;BC337;BC337;TO92;Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8
1;100uF;CAPACITOR ELETROLITICO PTH;PTH E2,5-5;C5
1;120uF;CAPACITOR ELETROLITICO PTH;PTH E2,5-5;C6
1;100nF;CAPACITOR SMD 0805;SMD 0805;C3
2;22pF;CAPACITOR SMD 0805;SMD 0805;C1, C2
1;470pF;CAPACITOR SMD 0805;SMD 0805;C4
1;12MHz;CRISTAL PTH;HC49/S;Q9
1;MC34063A;DC/DC CONVERSOR SMD;SOIC8_150MIL;U1
1;1N5819-B;DIODO SCHOTTKY PTH;DO41-7.6;D1
1;62uH;INDUTOR PTH;PTH 0.5W;L2
64;;LED3MM;LED3MM;LED1, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED25, LED26, LED27, LED28, LED29, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED50, LED51, LED52, LED53, LED54, LED55, LED56, LED57, LED58, LED59, LED60, LED61, LED62, LED63, LED64, LED65, LED66, LED67, LED68, LED69, LED70, LED71, LED72
1;PIC16F877P;MICROCONTROLADOR PTH;DIL40;IC
1;MODULO_ADXL345;MODULO_ADXL345;MODULO_ADXL345;MD1
1;0R68;RESISTOR PTH;PTH 0.5W;R12
1;10k;RESISTOR PTH;PTH 0.5W;R14
1;3k;RESISTOR PTH;PTH 0.5W;R15
1;68R;RESISTOR PTH;PTH 0.5W;R13
1;10k;RESISTOR SMD 0805;SMD 0805;R11
9;150R;RESISTOR SMD 0805;SMD 0805;R1, R2, R3, R4, R5, R6, R7, R8, R9
1;220R;RESISTOR SMD 0805;SMD 0805;R10
